,pearson,kendall,spearman,rmse,mse,mue,source
simulation_mbar_openff-2.0.0,"0.90 [68%: 0.73, 0.96]","0.56 [68%: 0.33, 0.77]","0.76 [68%: 0.55, 0.89]","4.05 [68%: 3.72, 4.35]","-3.92 [68%: -4.24, -3.6]","3.92 [68%: 3.6, 4.24]",A2A
simulation_dg-c2-pb_espaloma-0.3.1,"0.63 [68%: 0.31, 0.84]","0.42 [68%: 0.11, 0.74]","0.50 [68%: 0.12, 0.82]","7.76 [68%: 7.11, 8.35]","-7.51 [68%: -8.12, -6.89]","7.51 [68%: 6.89, 8.12]",A2A
simulation_dg-c2-pb_gaff-2.11,"0.74 [68%: 0.51, 0.86]","0.56 [68%: 0.33, 0.79]","0.66 [68%: 0.38, 0.88]","5.86 [68%: 5.42, 6.27]","-5.72 [68%: -6.13, -5.3]","5.72 [68%: 5.3, 6.13]",A2A
simulation_dg-c2-pb_openff-2.0.0,"0.71 [68%: 0.28, 0.88]","0.38 [68%: 0.10, 0.67]","0.54 [68%: 0.17, 0.81]","8.15 [68%: 7.71, 8.57]","-8.05 [68%: -8.46, -7.63]","8.05 [68%: 7.63, 8.46]",A2A
simulation_dg-c2-gb_espaloma-0.3.1,"0.93 [68%: 0.79, 0.97]","0.60 [68%: 0.42, 0.79]","0.81 [68%: 0.62, 0.90]","19.57 [68%: 19.1, 20.04]","-19.51 [68%: -20.0, -19.04]","19.51 [68%: 19.04, 20.0]",A2A
simulation_dg-c2-gb_gaff-2.11,"0.89 [68%: 0.75, 0.96]","0.64 [68%: 0.49, 0.81]","0.79 [68%: 0.61, 0.91]","17.42 [68%: 16.79, 18.02]","-17.3 [68%: -17.94, -16.66]","17.3 [68%: 16.66, 17.94]",A2A
simulation_dg-c2-gb_openff-2.0.0,"0.95 [68%: 0.82, 0.98]","0.60 [68%: 0.38, 0.81]","0.76 [68%: 0.52, 0.92]","19.91 [68%: 19.37, 20.44]","-19.83 [68%: -20.4, -19.26]","19.83 [68%: 19.26, 20.4]",A2A
simulation_dg-ie-pb_espaloma-0.3.1,"0.64 [68%: 0.37, 0.82]","0.47 [68%: 0.17, 0.75]","0.56 [68%: 0.21, 0.86]","13.09 [68%: 12.52, 13.62]","-12.97 [68%: -13.51, -12.43]","12.97 [68%: 12.43, 13.51]",A2A
simulation_dg-ie-pb_gaff-2.11,"0.81 [68%: 0.58, 0.90]","0.56 [68%: 0.30, 0.80]","0.68 [68%: 0.40, 0.90]","11.38 [68%: 11.07, 11.7]","-11.34 [68%: -11.66, -11.04]","11.34 [68%: 11.04, 11.66]",A2A
simulation_dg-ie-pb_openff-2.0.0,"0.68 [68%: 0.19, 0.84]","0.33 [68%: 0.03, 0.64]","0.44 [68%: 0.06, 0.77]","13.99 [68%: 13.64, 14.31]","-13.95 [68%: -14.27, -13.6]","13.95 [68%: 13.6, 14.27]",A2A
simulation_dg-ie-gb_espaloma-0.3.1,"0.94 [68%: 0.83, 0.97]","0.69 [68%: 0.51, 0.86]","0.85 [68%: 0.68, 0.95]","25.02 [68%: 24.57, 25.45]","-24.98 [68%: -25.41, -24.54]","24.98 [68%: 24.54, 25.41]",A2A
simulation_dg-ie-gb_gaff-2.11,"0.91 [68%: 0.78, 0.96]","0.64 [68%: 0.50, 0.80]","0.81 [68%: 0.63, 0.90]","23.01 [68%: 22.4, 23.57]","-22.93 [68%: -23.52, -22.31]","22.93 [68%: 22.31, 23.52]",A2A
simulation_dg-ie-gb_openff-2.0.0,"0.92 [68%: 0.74, 0.96]","0.56 [68%: 0.37, 0.75]","0.73 [68%: 0.48, 0.88]","25.78 [68%: 25.28, 26.28]","-25.73 [68%: -26.25, -25.22]","25.73 [68%: 25.22, 26.25]",A2A
